a	art.一（人，事，物），每一，任何一
harmony	n.协调，和谐；融洽，一致
harsh	a.粗糙的；(声音)刺耳的；严厉的，苛刻的
harvest	n.&amp;v.收获
hat	n.帽子
hate	v.&amp;n.恨，憎恨，讨厌
haul	vt.拖曳
have	v.有
hay	n.干草
hazard	n.危险
he	pron.他
head	n.&amp;v.头，头顶；头脑；率领，领导
headache	n.头痛
headline	n.大字标题；新闻提要
headquarters	n.司令部
heal	v.治愈，愈合，痊愈
health	n.健康，卫生
health-care	n.卫生保健
healthy	a.健康的
hear	vt.听说
hearing	n.倾听；听证
heart	n.心，心脏；中心，要点；内心，心肠
heat	n.热 vt.加热
heaven	heaven n.天堂，天国，上帝；天，天空 , n.上帝，神
heavily	ad.大量地
heavy	a.重的
heel	n.脚跟，鞋跟
height	n.高度
helicopter	n.直升飞机
hell	n.地狱，阴间；用以咒骂或表示愤怒，不满
hello	int.喂
helmet	n.头盔
help	Help 帮助 , 帮助
helpful	adj.乐于助人的；有帮助的
hence	ad.因此，由此
her	pron.她的
herb	n.药草，(调味用的)香草，草本植物
here	adv./n.这里
heritage	n.传统；遗产；继承物
hero	n.英雄
hers	pron.她的
herself	pron.她自己
hesitate	vi.犹豫，迟疑不决
hey	int.嗨!
hi	interj.嗨
hidden	hide的过去分词
hide	n.兽皮
high	high a.&amp;ad.高，高度的，高级的，高尚的 , 中学；高中 (=High School)
highlight	vt.强调，使显著
highly	ad.高度地；极；非常
high-tech	a.高技术的
highway	n.a main public road 公路；大路
hike	n.徒步旅行；增加vi.徒步旅行vt.提高
hill	n.山
him	pron.他
himself	himself pron.他自己 , n．上帝
hint	n.暗示，迹象
hip	n ．臀部，骸；屋脊
hire	v.租
his	pron.他的
Hispanic	a.拉丁美洲的
historian	n.历史学家
historic	a.历史上著名的，具有历史意义的
historical	a.历史的，历史上的
historically	ad.历史地；与历史有关
history	History 历史课 , n.历史,历史学;来历,经历
hit	v.&amp;n.打击，击中，碰撞
hockey	n.曲棍球；冰上曲棍球，冰球
hold	v.保持
hole	n.洞
holiday	n.假日，假期，休假
holy	a.神圣的，上帝的，宗教的
home	adv.回家；在家 n.家
homeland	n.祖国
homeless	adj.无家可归的
homework	n.家庭作业
honest	a.诚实的，老实的，正直的
honestly	ad.诚实地；正直地；的确，实在
honey	n.宝贝，心肝(亲爱者之间的昵称)；蜂蜜
honor	n.&amp;v.荣誉，光荣，敬意，尊敬
hook	n.钩，钩状物
hope	vt.,vi./n.希望；期望
hopefully	ad.in a hopeful manner 怀着希望；但愿
horizon	n.地平线；(喻)眼界，见识
hormone	n.激素，荷尔蒙
horn	n.（牛、羊、鹿等动物的）角
horrible	a.可怕的，恐怖的；讨厌的
horror	a.(电影等)意在引起恐怖的 n.恐惧；震惊
horse	n.马
hospital	n.医院
host	n.主人
hostage	n.人质
hostile	a.敌对的；不友善的，敌意的
hot	adj.热的
hotel	n.旅馆
hour	n.小时；钟点，时刻；课时
house	house 房屋 , 院
household	n.一家人，家族 a.普通的，平常的
housing	n.房屋；住宅
how	ad.如何
however	ad.无论如何
hug	n.&amp;vt.(紧紧)拥抱
huge	a.巨大的，庞大的
huh	int.哼! 哈!
human	n.人类
humanity	n.人性；仁慈；人类
humor	n.幽默
hundred	num.百
hunger	vi..饥饿, 欲望, 渴望
hungry	a.饥饿的
hunt	v.&amp;n.打猎，狩猎；寻找，搜索
hunter	hunter n.猎人 , (姓)亨特
hunting	n.搜寻
hurricane	n.飓风；暴风雨
hurry	v.&amp;n.赶忙，匆忙，慌忙
hurt	v.刺痛
husband	n.丈夫
hypothesis	n.假设；前提
I	I pron.我 , pron. 我
ice	n.冰
icon	n.偶像；崇拜的对象；画像
idea	n.想法，念头；概念，观念
ideal	a.理想的，完美的 n.理想
identical	a.同一的；完全相同的
identification	n.鉴别
identify	vt.鉴别，识别
identity	n.身份
ideological	a.思想的
ideology	n.思想（体系）
if	conj.如果
ignore	vt.不理，忽视
ill	a.有病的
illegal	a.against the law 不合法的，非法的
illness	n.疾病；生病
illusion	n.错觉；幻觉
illustrate	vt.说明，阐明；给…作插图说明
image	n.雕像
imagination	n.想像力
imagine	vt.设想；想象
immediate	a.立即的，即刻的；直接的，最接近的
immediately	ad.立即地，即刻地；直接地，紧密地
immigrant	n.移民，侨民
immigration	n.移居；外来的移民
immune	a.免疫的，有免疫力的；不受影响的
impact	n.冲击，碰撞；影响 vt.装紧，压紧
implement	vt.实现；完成；履行
implementation	n.实施，贯彻
implication	n.含义
imply	vt.暗示，意味
import	v.&amp;n.进口
importance	n.重要(性)
important	adj.重要的
impose	v.加（负担、惩罚等）于
impossible	a.不可能的，做不到的
impress	vt.给…深刻的印象，使铭记
impression	n.印象；印记，压痕
impressive	a.给人印象深刻的，感人的
improve	v.改善，改进；好转，进步
improvement	n.改进，改善；改进处
impulse	n.(一时的)冲动，冲力；脉冲；神经冲动
in	prep.在…里
incentive	n.刺激
incident	n.事件
include	v.包含，包括，计入
including	prep.包括，包含
income	n.收入
incorporate	vt.包含，合并；体现
increase	v.&amp;n.增加
increasing	递增
increasingly	ad.日益，愈加
incredible	a.难以置信的
incredibly	adv.难以置信地
indeed	ad.的确，确实
independence	n.独立，自立
independent	a.独立的,不受约束的
index	n.指数，指标
Indian	Indian 印第安人 , a.印度(人)的,印第安人的 n.印度(安)人
indicate	vt.显示，象征，指出
indication	n.迹象
indicator	指示符
indigenous	a.土生土长的，本土的
individual	a.个别的，单独的n.个人，个体
industrial	a.工业的，产业的
industry	n.工业，产业
inevitable	a.不可避免的，必然(发生)的
inevitably	ad.不可避免地，必然地
infant	n.婴儿，幼儿 a.婴儿的，幼儿的
infection	n.感染；传染
inflation	n.通货膨胀
influence	vt.影响
influential	a.有影响的；有权势的
inform	vt.告知
informal	a.非正式的
information	n.情报，信息
infrastructure	n.基础；基础结构
ingredient	n.(混合物的)成分
inherent	a.内在的，生来的
inherit	vt.继承(金钱等)，经遗传而得(性格、特征)
initial	a.最初的，开始的；词首的 n.首字母
initially	ad.最初，开始
initiate	v.创始；发起；开始实施
initiative	n.主动的行动；主动
injure	vt.伤害
injury	n.损害，伤害；受伤处
inmate	n.囚徒；被收容者；住院者
inner	a.内部的，里面的；思想的 n.内部；里面
innocent	a.无罪的，无辜的；天真无邪的；无害的
innovation	n.革新；新方法
innovative	a.创新的，革新（主义）的
input	n.输入(物、数据)；投入
inquiry	n.询问
insect	n.虫，昆虫
insert	n.插页
inside	adv.,prep.,adj./n.在里面；在…里面
insight	n.洞察力
insist	v.坚持，坚持主张，强烈
inspection	n.检查
inspector	n.检查员，视察员；(警队)督察
inspiration	n.灵感
inspire	vt.激发，使产生灵感
install	vt.安装
installation	n.安装，设置；装置，设备
instance	n.例，例证，实例
instant	n.即刻，即时
instantly	ad.立即，马上
instead	ad.代替；更换
instinct	n.本能，直觉；生性，天性
institution	n.公共机构
institutional	a.惯例的，制度上的
instruct	vt.教导，指示
instruction	n.教学，指导；命令，指示，用法说明
instructor	n.（美）大学讲师
instrument	n.仪器；乐器
insurance	n.保险
intact	a.完整无损的
integrate	v.使结合，使成一体
integrated	a.成整体的，完全的，完整的
integration	n.综合
integrity	n.诚实，正直；完整
intellectual	a.智力的
intelligence	n.智力
intelligent	a.聪明的；明智的
intend	v.想要，打算，企图
intense	a.强烈的
intensity	n.强烈，剧烈
intent	n.意图，目的
intention	n.目的，意图
interact	vi.相互作用
interaction	n.相互作用；干扰
interest	n.&amp;v.兴趣，关心，注意；使发生兴趣
interested	adj.感兴趣的
interesting	a.有趣的，引人入胜的
interfere	vi.干涉，介入；妨碍，干扰
interior	n.内部
internal	a.内部的；体内的
international	a.国际的, 世界的
Internet	internet n.因特网，国际互联网络 , 网际
interpret	vi.解释，说明
interpretation	n.解释
interrupt	vt.打断，打扰；阻碍 vi.打断，打扰
interval	n.间隔，间距；幕间(或工间)休息
intervention	n.干预
interview	n.面试；接见；会见
intimate	a.亲密的
into	prep.到…里
introduce	v.介绍
introduction	n.引言;导论
invade	vt.侵犯
invasion	n.侵入；侵略；侵犯
invent	vt.发明
invention	n.发明，创造；捏造，虚构
inventory	n.详细目录，清单
invest	v.投资
investigate	v.调查，调查研究
investigation	n.调查
investigator	n.调查者
investment	n.投资
investor	n.投资者
invisible	a.看不见的
invitation	n.邀请
invite	v.邀请，招待
involve	vt.(必须)包括
involved	a.有关的
involvement	n.卷入，牵连；牵连到的事，复杂情况
Iraqi	n.伊拉克人 a.伊拉克的
Irish	a.爱尔兰(人)的
iron	n.铁 v.烫平
ironically	ad.具有讽刺意味地；嘲讽地，挖苦地
irony	n.反语法；嘲弄
Islam	n.伊斯兰教，回教；伊斯兰教信徒
Islamic	islamic a.伊斯兰教的 , a.伊斯兰教的，伊斯兰的
island	n.岛
isolate	vt.[常被动]使孤立；使脱离；使隔离
isolated	a.孤立的；分离的
isolation	n.隔离；孤立
Israeli	a.以色列的
issue	vt.发行；出版
it	it pron.它 , Information Technology
Italian	Italian a.意大利的 n.意大利人；意大利语 , adj.意大利的
item	n.条，条款，项目
its	pron.它的
itself	itself pron.它自己 , pron.它自己；自身
jacket	n.夹克衫
jail	n.监狱，看守所；监禁 vt.监禁；拘留，禁锢
Japanese	Japanese n.日本人；日语；日文 a.日本的；日本语的 , adj. 日本的；n. 日本人
jar	vt.震动, 刺激
jaw	n.颔，颚
jazz	n.爵士乐
jeans	n.牛仔裤
jet	n.喷射；喷气式飞机
Jew	n.犹太人
jewelry	n.珠宝，首饰
Jewish	Jewish adj.犹太人的 , a.犹太人的
job	Job n.职业,职位;一件工作,活儿 , n.工作；职务
join	join v.加入 , vt.加入
joint	joint a.共同的 , n.接头，接缝；关节
joke	n.笑话；笑料
journal	n.杂志；日报
journalism	n.新闻业；［总称］报刊；新闻学
journalist	n.新闻工作者；记者
journey	n.旅行，旅程
joy	n.欢乐，喜悦
judge	n.法官，审判员
judgment	n.判决；判断；看法，意见，判断力
judicial	a.司法的，法庭的，审判的；公正的
juice	n.汁，液
jump	v.&amp;n.跳跃，跳动
jungle	n.丛林
junior	a.年少的，下级的
jurisdiction	n.司法权，审判权，裁判权
juror	n.陪审员
jury	n.陪审团
just	ad.刚才 a.公正的
justice	n.正义，公正；司法
justify	vt.证明…是正当的；为…辩护
keep	v.保持
key	n.钥匙；关键
kick	n.&amp;v.踢
kid	n.小孩，小伙子
kill	v.杀死，消灭
killer	n．杀人者；凶手 (口)造成灾难的事物
killing	n.杀害，杀人
kind	n.种类
king	n.国王
kingdom	n.王国；领域
kiss	v.&amp;n.亲吻
kit	n.配套元件
kitchen	n.厨房；炊具
knee	n.膝盖
kneel	v.跪下
knife	n.刀
knock	n.&amp;v.敲
know	vi.知道
knowledge	n.知识
known	adj.闻名的；众所周知的
Korean	n. ＆ adj.朝鲜的；朝鲜人的；朝鲜语的
lab	n．实验室
label	n.标签 v.把...称为；用标签于；用标签标明
labor	n.&amp;v.工作，劳动，苦干
laboratory	n.实验室
lack	n./vt.缺乏，不足，没有
ladder	n.梯子
lady	n.(客气称呼)女士
lake	n.湖
lamp	n.灯 vt.照亮
land	n.陆地，土地；国土，国家
landing	n.楼梯过渡的平台
landmark	n.标志性建筑，界标
landscape	n.风景；风景画
lane	n.通道
language	n.语言
lap	n.膝部；(跑道的)一圈
large	a.大的
largely	ad.大量地；主要地
laser	n.激光
last	a.最后的 ad.最后 n.最后
late	a.晚的 ad.晚
lately	ad.最近，不久前
later	ad.后来；以后
Latin	Latin a.拉丁的，拉丁人(语)的 n.拉丁语(人) , a.拉丁的 n.拉丁语
latter	a.后者的；后一半的，接近终了的 n.后者
laugh	v.&amp;n.笑
laughter	n.笑声
launch	vt.发射；使(船)下水 n.发射，(船)下水
laundry	n.洗衣店
law	n.法律
lawmaker	n.立法者
lawn	n.草坪
lawsuit	n.诉讼(案件)
lawyer	n.律师
lay	v.放置
layer	n.层，层次
lead	v.领导 n.领导，领先
leader	n.领袖，领导人
leadership	n.power of leading 领导能力，领导阶层
leading	a.领导的，指引的；最重要的，主要的
leaf	n.叶，叶子
league	League n.共青团 , n ．同盟，联盟；联合会，社团
lean	vi.靠，倚
leap	v./n.(leapt或leaped)跳跃；飞跃
learn	v.学习
learning	n.学习；学问，知识
least	a.&amp;ad.最小的(地)，最少的(地)
leather	n.皮革
leave	v.遗忘；动身
lecture	n.演讲
left	n.&amp;a.左，左面，左边
leg	n.腿
legacy	n.遗产
legal	a.法律(上)的
legally	ad.合法地
legend	n.传说；传奇
legislation	n.立法；法规
legislative	a.立法的；有立法权的
legislator	n.立法者
legislature	n.立法机关
legitimate	a.合法的；合理的
lemon	n.柠檬
lend	v.借给
length	n.长度
lens	n.透镜；眼睛水晶体
less	a.更少(或更小)的，较少(或较小)的
lesson	n.课；功课
let	v.让
letter	n.信；文字
level	v.使平
liability	n.责任，义务；不利条件
liberal	a.开明的
liberty	n.自由，自由权；冒昧，失礼；特许权，特权
library	n.图书馆(室)
license	n.理由，借口；许可证，执照
lid	n.盖，盖子
lie	vi.平放
life	n.生命，寿命，一生；生活
lifestyle	n.生活方式
lifetime	n.一生，终身
lift	n.电梯
light	n.灯光；灯
lighting	n.照明，照明设备
lightly	adv.轻轻地
lightning	n.闪电
like	v.爱好；喜欢
likelihood	n.可能，可能性；有希望的事
likely	a.可能的，有希望的 ad.很可能
likewise	ad.同样地
limb	n.肢，翼
limit	n.限度，限制；［pl.］范围 vt.限制，限定
limitation	n.限制；限度，局限
limited	a.有限的
line	n.行业
link	vt.连接；联系
lion	n.狮子
lip	n.嘴唇
liquid	a.液体的，液态的 n.液体
list	n.目录
listen	v.听
listener	n.听者，收听者
literally	ad.确实地；简直
literary	a.文学(上)的
literature	n.文学，文学作品；文献，图书资料
little	a.小的
live	vi.居住；生活
liver	n.肝；肝脏
living	a.活(着)的
load	vt.装满
loan	n.借出的东西；货款
lobby	n.大厅，门厅，穿堂
local	当地的；地方性的
locate	vt.探明，找出
location	n.地点；位置
lock	n.&amp;v.锁
log	n.原木
logic	n.逻辑(学)；推理(法)
logical	a.逻辑(上)的，符合逻辑的
lonely	a.孤独的
long	long a.长 n.不久 vi.渴望 , (姓)
long-term	a.长期的
look	vi.瞧；看上去
loop	vt.把(绳等)打成环 n.圈，环
loose	adj.松的，散装的
lose	v.丢，丧失；失败，输
loss	n.遗失，丧失；损失，亏损；失败
lost	lose过去式
lot	n.许多
loud	a.高声的
love	vt.爱；热爱
lovely	a.可爱的
lover	n.情人；爱好者
low	a.低，矮；低级的，下层的，卑贱的；低声的
lower	a.&amp;v.较低的，下级的，下游的；放低
loyal	ad.忠诚地，忠实地
loyalty	n.忠诚；忠心
luck	n.运气
lucky	adj.幸运的
lunch	n.午餐
lung	n.肺
machine	n.机器，机械
mad	a.疯；神经错乱
magazine	n.杂志
magic	n.魔法，魔术 a.有魔力的
magnetic	a.磁的，有吸引力的
magnitude	n.重要性，重大；巨大，广大
mail	n.邮件
main	n.主要部分
mainly	ad.主要地，大体上
mainstream	n.(思想或行为的)主流 a.主流的
maintain	vt.维持；维修；供养
maintenance	n.维持，保持；维修；坚持，维护
major	a.主修的；成年的
majority	n.多数，大半；多数党，多数派
make	vt.使；迫使
maker	n.制造者；制造商
makeup	n.性格，气质
male	a.雄的；男(性)的 n.男子；雄性动物
mall	n.购物街
man	n.男人；人
manage	v.处理
management	n.资方；管理(部门)
manager	n.经理
managing	a.经营的，处理的，节约的
mandate	v.托管
manipulate	vt.操纵，控制，影响；(熟练地)使用
manner	n.礼貌
mansion	n.豪宅，大厦
manual	a.手的，用手(操作)的；体力的 n.手册
manufacturer	n.制造商，制造厂
manufacturing	制造
many	a.许多的 pron.许多
map	n.地图
marble	n.弹子；大理石 a.大理石的，大理石般的
march	march v.前进 , n.三月
margin	n.页边的空白
marine	Marine n.(美国)海军陆军战队士兵或军官 , a.海军的
mark	n.&amp;v.标志
marker	n.标记
market	n.市场
marketing	n.营销
marketplace	n.集会场所，市场
marriage	n.结婚，婚姻
married	a.婚姻的；已结婚的
marry	v.结婚，嫁，聚
mask	vt.遮盖；掩盖
mass	n.块；聚集；集中
massive	a.大而重的，魁伟的；大规模的，大量的
master	n.主人，雇主；能手，名家 v.掌握，精通
match	n.&amp;v.比赛，竞赛；婚姻；(和)相配
mate	n.朋友，伙伴，同事
material	n.材料，原料，资料
math	n.数学
mathematics	n.数学
matter	vi.要紧，有关系
maximum	n.最大限度，最大量 a.最高的，最大的
may	may v.mod.可能，也许，可以 , n.五月
maybe	ad.可能
mayor	n.市长
me	ME n.德育=moral education , pron.我[I的宾格]
meal	n.一餐，一顿饭，膳食
mean	v.意指，意味着
meaning	n.意思，意义，含义
meaningful	a.富有意义的
meantime	n.&amp;ad.其间
meanwhile	ad.同时
measure	n.尺寸；方法
measurement	n.测量
meat	n.肉，食用肉类
mechanic	n.机械工；机修工
mechanical	a.技巧上的，细节上的
mechanism	n.机械装置；机制
medal	n.奖章
media	n.新闻媒体
medical	a.医学的；医疗的
medication	n.药物治疗；药物
medicine	n.内服药；医学
medium	n.媒介物，传导体 a.中等的，适中的
meet	n.会，集会
meeting	n.会议
melt	v.(使)融化；(使)熔化
member	n.成员，会员
membership	n.会员地位；全体会员
memory	n.记忆；内存
mental	a.精神的；思想上的
mentally	ad.智力上，脑力上
mention	vt.提及
mentor	n.指导者，良师益友
menu	n.菜单
merchant	n.商人
mere	a.仅仅的，只不过的
merely	ad.仅仅，只不过
merit	n.优点，长处；功绩，功劳
mess	n.混乱，肮脏
message	n.通讯，消息，音信
metal	n.金属
metaphor	n.隐喻
meter	n.米；公尺
method	n.方法
metropolitan	a.大城市的，大都会的
Mexican	n.a.墨西哥人；墨西哥(人)的
middle	a.中间的 n.中间
middle-class	a.中产阶级的
midnight	n.午夜
midst	n.中间，当中 prep.(=amidst)在…当中
might	n.力量
migration	n.迁移，移居；(鸟类等的)迁徙
mild	a.温和的，温柔的；轻微的，不严重的
military	a.军事的
milk	n.牛奶
mill	n.工厂，车间
million	n.&amp;a.百万
mind	n.&amp;v.头脑，精神，理智；介意，留心
mine	pron.我的
mineral	n.矿物，矿石
minimal	a.尽可能少的，最小的
minimize	vt.使减到最少
minimum	n.最小量；最低限度 a.最小的；最低的
minister	n.部长；大臣
ministry	n.(政府的)部；牧师的职务，全体牧师
minor	a.较小的，较少的，较次要的；少数的
minority	n.少数(民族); 少数
minute	n.分钟
miracle	n.sth.that is amazing and unusual 奇迹
mirror	n.镜子
miss	miss v.想念；思念 , n.小姐
missile	n.导弹
missing	a.失去的；缺少的
mission	n.代表团;使馆
missionary	a.传教的 n.传教士
mistake	n.错误
mix	v.混合
mixed	a.混合的；形形色色的
mixture	n.混合；混合物
mobile	a.活动的
mode	n.方式
model	n.模型；样式
moderate	a.中等的；稳健的，有节制的 v.(使)和缓
modern	a.现代的
modest	a.谦虚的
modify	vt.修改；变更
molecule	n.分子，克分子
mom	n.妈妈
moment	n.片刻，瞬间，时刻
momentum	n.动力，冲力，势头
money	n.货币，金钱
monitor	n.监控器；班长 vt./vi.监视，监控
monkey	n.猴子
monster	monster n.怪物；巨大的东西 , 妖怪
month	n.月
monthly	a.每月的；每月一次的
monument	n.纪念馆，纪念碑
mood	n.情，情绪
moon	n.月亮，月球，卫星
moral	a.道德上的
more	adj.更多的
moreover	ad.而且，此外
morning	n.早晨，上午
mortality	n.死亡率
mortgage	n.抵押
most	adv.,adj./n.最；非常；多数的；大部分
mostly	ad.主要地；大部分
mother	n.母亲
motion	vi.打手势；点(或摇)头示意
motivate	vt.促动；激励，激发
motivation	n.动因；动力
motive	n.动机，目的
motor	n.发动机；电动机
mount	mount v.登上，爬上，骑上 , n.(用于山名前)山，峰
mountain	n.山脉
mouse	n.鼠
mouth	n.嘴
move	v.移动
movement	n.运动
movie	n.电影
Mr	n.先生(用于男子姓或姓名前的称呼)
Mrs	Mrs n.夫人；太太(用于已婚妇女姓名前的称呼) , n. 夫人
Ms	ms 毫秒 , n．女士(用在婚姻状况不明的女子姓名前)
much	a.许多
mud	n.泥，泥浆
multiple	a.复合的，多次方的
municipal	a.市的，市政的
murder	n.&amp;vt.谋杀
muscle	n.肌肉；力量，实力
museum	n.博物馆
mushroom	n.蘑菇 v.迅速生长，迅速发展
music	n.音乐，乐曲
musical	a.of or for music 音乐的，和谐悦耳的
musician	n.音乐家；作曲家
Muslim	n.伊斯兰教徒
must	v.aux.必须
mutter	v.&amp;n.轻声低语；小声抱怨
mutual	a.相互的，共同的
my	my pron.我的 , 我的
myself	pron.我自己
mysterious	a.神秘的，难以理解的
mystery	n.神秘，神秘的事物
myth	n.神话，神话故事
nail	n.钉；指甲，爪
naked	a.裸体的
name	n.名字
narrative	n.叙述文，故事；叙述，讲述
narrow	a.狭窄的
nasty	n.卑劣的，下流的
nation	n.国家；民族
national	a.国家的
nationwide	a.全国性的 ad.在全国范围内
native	n.本地人 a.本国的
natural	a.自然的
naturally	ad.自然地
nature	n.自然，自然界；性质，本性，天性
naval	adj.海军的
near	a.不远；亲近的
nearby	ad.在附近
nearly	adv.几乎；将近
neat	a.整洁的
necessarily	ad.必定
necessary	a.必须的，必要的，必然的
necessity	n.需要，必要性；必需品
neck	n.脖子
need	n.&amp;v.必要，需要；必须
needle	n.针（状物）
negative	a.否定的，消极的，反面的
negotiate	v.协商，谈判；议定，商定
negotiation	n.谈判，协商
neighbor	n.邻居
neighborhood	n.邻近地区；地段
neighboring	adj.邻近的，相邻的
neither	pron.两者都不
nerve	神经，勇气
nervous	a.神经质的；紧张的
nest	n.巢，窝
net	vt.用网捕, 净赚, 得到
network	n.网状系统；广播网，电视网；广播联播公司
neutral	a.中立的，中性的
never	ad.从未；决不
nevertheless	conj.然而，不过
new	adj.新的
newly	ad.新近，最近；重新，以新的方法
news	n.新闻
newspaper	n.报纸
next	adv./adj.下一个；隔壁的
nice	a.美好的
night	n.夜，夜间
nightmare	n.恶梦
nine	num.九
no	adv./adj.不；不是
nobody	pron.没有人
nod	v.点头
noise	n.喧闹声；噪声
nomination	n.提名；任命
nominee	n.被提名者；被任命者
none	ad.毫不
nonetheless	ad.仍然，不过
nonprofit	a.非赢利的
noon	n.中午
nor	conj.也不
norm	n.准则，规范；平均数；通常情况
normal	a.正常的，正规的 n.正常状态
normally	ad.通常
north	n.北方
northeast	n．东北；东北部
northern	northern a.北方的 , 北爱尔兰
northwest	n.西北；西北部 a.朝西北部的 ad.在西北
nose	n.鼻子
not	ad.不
note	vt.记；注意
notebook	n.笔记本
nothing	pron.没有任何东西
notice	v.&amp;n.注意，认识；通知，通告
notion	n.concept 概念，意念；看法
novel	a.新颖的，新奇的
now	adv.现在interj.语气词(以引起他人的注意)
nowhere	ad.任何地方都不
nuclear	a.核子的，核能的；核心的，中心的
number	n.数字
numerous	a.许多的
nurse	n.&amp;v.护士，保姆，保育员；护理，养育
nut	n.坚果；螺母
nutrient	a.营养的，滋养的 n.营养物，营养品
oak	n.橡树
object	n.物体，对象，目的；宾语 v.反对(to)
objection	n.反对
objective	a.客观的；无偏见的
obligation	n.义务，责任
observation	n.注意，观察；观察物
observe	vt.观察
observer	n.遵守者，奉行者；观察者，监视者
obstacle	n.障碍，障碍物
obtain	v.获得，得到
obvious	a.明显的
obviously	ad.明显地，显而易见地
occasion	n.时刻，时机；场合
occasional	a.偶尔的，非经常的
occasionally	ad.偶尔地，间或
occupation	n.占有；占有期间
occupy	vt.占用，占领；使忙碌，使从事
occur	vi.发生
ocean	n.海洋
odd	a....以上的；奇特的；奇数的，单数的
odds	n.可能性；机会
of	prep.…的
off	ad.中断
offender	n.犯罪者，犯错误者
offense	n.不悦，恼怒
offensive	a.讨厌的；冒犯的，攻击的
offer	v.出价；出现
offering	n.提供之物
office	n.办公室；局
officer	n.军官；办事员，高级职员；警察
official	n.官员
officially	ad.官方地，正式地；公务上
often	ad.经常
oh	Oh interj.哦;啊呀 , int.啊；噢；呀
oil	n.油
ok	OK interj.好；行；对的 , adv. (口语)好；对；可以
OK	OK interj.好；行；对的 , adv. (口语)好；对；可以
okay	Okay (=OK)adv.&lt;表示同意或允许&gt;好的，可以，行 , a.行，可以
old	a.老的
old-fashioned	a.老式的
Olympic	a.奥运会的
Olympics	n.奥林匹克运动会
on	prep.在…之上
once	adv.一次；曾经
one	num.一；一个
ongoing	a.进行中的，前进的
onion	n.洋葱
online	adj．& adv．在线；上网
only	ad.仅仅；只
onto	prep.到…上，向…之上
open	v.&amp;a.打开，开始；开张；开
opening	a.开始的 n.开始；洞，孔；空缺
openly	ad.公开地
opera	n.a musical play 歌剧(院)
operate	vt.操作
operating	操作
operation	n.手术；运转
operator	n.操作人员
opinion	n.意见，主张，看法
opponent	n.对手；反对者
opportunity	n.机会，时机
oppose	vt.反对，反抗；使相对，使对抗(to)
opposed	a.相对的，相反的
opposite	n.对立面，对立物
opposition	n.反对，反抗；对立，意见相反
opt	vi.抉择，选择(for)，在…之间选择
optimistic	a.乐观的；乐观主义的
option	n.选择
or	conj.或者
oral	a.口头的，口的
orange	Orange 奥兰治(地名) , n.橘子
orbit	vt./vi.绕(…的)轨道运行 n.轨道
order	n.次序；整齐
ordinary	a.平常的；普通的
organ	n.器官；风琴；机构
organic	a.有机（物）的
organism	n.生物体, 有机体
organization	n.组织，机构
organizational	a.组织的
organize	vt.组织
organized	adj.有条理的;有效率的
orientation	n.方位；定位；取向
origin	n.血统；出身；起源
original	a.起初的，原来的；独创的 n.原物；原文
originally	ad.起初，原来
other	a.其他的 pron.其他
others	prep.(pl.)另外的人
otherwise	ad.否则的话 a.另外的；其他方面的
ought	v.aux.应当；应该
our	pron.我们的
ours	pron.我们的
ourselves	pron.我们自己
out	adj.(花)盛开的
outcome	n.结果，结局；出路，出口
outdoor	a./ad.户外的，野外的；户外，野外
outer	adj.外部的
outfit	n.(尤指在特殊场合穿的)全套服装
outlet	n.出口, 出路
outline	n.大纲
output	n.产量；输出
outside	n.外面
outsider	n.局外人，外人
outstanding	a.杰出的
oven	n.烤炉，烤箱
over	a.结束的
overall	a.all 全面的
overcome	vt.战胜, 克服, 胜过, 征服
overlook	vt.俯视；忽略
overnight	a.住一夜的；一整夜的
oversee	v.监督
overwhelm	v.使受不了，使不知所措
overwhelming	a.势不可挡的；压倒之势的
owe	vt.欠(债等)；应把…归功于(to)
own	a.自己的 v.承认
owner	n.所有者
ownership	n.拥有；所有权，所有制
oxygen	n.氧，氧气
pace	n.(一)步；步速，节奏 vi.踱步；用步量
pack	vt.把(东西)打包(或装箱)
package	vt.组装
pad	n.便笺薄
page	n.页；记录
pain	vt.使痛苦
painful	a.痛苦的；费力的
paint	v.画，绘；涂油漆，着色 n.油漆；颜料
painter	n.漆工；画家
painting	n.画；绘画，绘画艺术；(上)油漆
pair	n.(一)对，(一)双
palace	n.宫殿
pale	n.栅栏 a.苍白的
Palestinian	a.巴勒斯坦的
palm	n.手掌
pan	n.平底锅；盘子；盆子
panel	n.专门小组
panic	n.恐慌
pant	vi.喘；渴望vt.气喘吁吁地说n.喘息
paper	n.纸，报纸
parade	vt.使列队行进 n.游行；检阅
parent	n.父，母
parental	a.父母(似)的
parish	n.教区
park	n.公园
parking	n．停车(处)
part	n.部分
partial	a.部分的，不完全的；偏袒的
partially	ad.部分地；不完全地
participant	n.参加者 a.参与的
participate	vi.参与，参加
participation	n.参加，参与
particle	n.粒子；微粒
particular	n.细节
particularly	ad.especially 特别地，尤其
partly	ad.部分地；在一定程度上
partner	n.伙伴；合伙人；合伙者
partnership	n.合作关系，伙伴关系
party	party n.聚会 , n.共产党(小写指党)
pass	v.经过；通过
passage	n.通道；通过
passenger	n.乘客，旅客
passion	n.激情
past	a.&amp;n.&amp;prep.过去的；过去；过，经过
pasta	n.意大利面制品；意大利面食(包括细面条等)
pastor	n.牧师
